Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_2.golog,0.087,0,0.003,0.016,0,0.016,0.122,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_2.golog,0.073,0,0.003,0.003,0,0.015,0.094,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_2.golog,0.073,0,0.003,0.008,0,0.008,0.092,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_2.golog,0.074,0,0.003,0.004,0,0.013,0.094,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_2.golog,0.07,0.01,0.003,0.005,0,0.003,0.091,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_2.golog,0.065,0,0.003,0.004,0,0.003,0.075,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_3.golog,0.073,0,0.006,0.054,0,0.075,0.208,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_3.golog,0.071,0,0.007,0.005,0,0.086,0.169,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_3.golog,0.07,0.01,0.007,0.022,0,0.021,0.13,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_3.golog,0.081,0,0.007,0.01,0,0.141,0.239,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_3.golog,0.069,0.01,0.007,0.021,0,0.015,0.122,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_3.golog,0.071,0,0.007,0.007,0,0.022,0.107,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_4.golog,0.075,0,0.018,0.13,0,0.511,0.734,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_4.golog,0.073,0,0.019,0.009,0,0.721,0.822,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_4.golog,0.084,0.002,0.018,0.033,0,0.101,0.238,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_4.golog,0.076,0,0.019,0.01,0,0.974,1.079,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_4.golog,0.072,0.001,0.019,0.042,0,0.039,0.173,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_4.golog,0.073,0,0.019,0.011,0,0.064,0.167,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_5.golog,0.086,0,0.044,0.265,0,6.832,7.227,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_5.golog,0.072,0,0.044,0.012,0,10.791,10.919,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_5.golog,0.076,0.001,0.05,0.05,0,0.148,0.325,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_5.golog,0.075,0,0.044,0.015,0,7.349,7.483,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_5.golog,0.073,0.01,0.047,0.076,0,0.052,0.258,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_5.golog,0.075,0,0.046,0.018,0,0.278,0.417,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_6.golog,-0.548,0,0.087,0.487,0,7.968,7.994,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_6.golog,0.08,0,0.085,0.016,0,50.501,50.682,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_6.golog,0.082,0.001,0.085,0.075,0,0.424,0.667,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_6.golog,0.082,0,0.085,0.019,0,141.191,141.377,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_6.golog,0.09,0.001,0.087,0.133,0,0.08,0.391,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_6.golog,0.078,0,0.086,0.024,0,1.689,1.877,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p7.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_7.golog,0.094,0,0.152,0.108,0,0.781,1.135,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p7.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_7.golog,0.084,0,0.14,0.024,0,285.047,285.295,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p7.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_7.golog,0.087,0,0.138,0.222,0,0.125,0.572,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p7.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_7.golog,0.084,0,0.176,0.032,0,1.25,1.542,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p8.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_8.golog,0.097,0.011,-0.306,0.138,0,1.121,1.061,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p8.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_8.golog,0.091,0.013,0.314,0.345,0,0.325,1.088,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p8.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_8.golog,0.089,0,0.32,0.045,0,10.597,11.051,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p9.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_9.golog,0.112,0,0.544,0.178,0,3.178,4.012,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p9.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_9.golog,0.104,0.001,0.591,0.569,0,0.245,1.51,Compositional
